Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
MZEIQ,MEDIZONE INTL INC,Pink No Information,0.000600,,0,Common Stock,USA,Michigan
MPIN,MESSAGE PROCSS INTL INC,Pink No Information,0.011500,,0,Common Stock,USA,Oklahoma
MTRT,METAL ARTS CO INC,Pink No Information,0.005500,,0,Common Stock,USA,New York
HNTM,HUNTMOUNTAIN RES LTD,Pink No Information,0.009000,,0,Common Stock,USA,Washington
NUTTQ,NUTROGANICS INC,Pink No Information,0.000500,,0,Common Stock,USA,Maryland
DESTQ,DESTINATION MATERNITY CRP,Pink No Information,0.019500,30.000000,1000,Common Stock,USA,New Jersey
OPMC,OPTIMUMCARE CORP,Pink No Information,0.004400,,0,Common Stock,USA,California
PGAI,PGI INC,Pink Current,0.005500,,0,Common Stock,USA,Missouri
PMDL,PACE MEDICAL INC,Pink No Information,0.012100,21.000000,10021,Common Stock,USA,California
PSBC,PACIFIC STATE BANCORP,Pink No Information,0.005000,,0,Common Stock,USA,California
PTSC,PATRIOT SCIENTIFIC CORP,Pink Current,0.005700,-11.627900,135020,Common Stock,USA,California
NADA,NORTH AMER DATACOM INC,Pink No Information,0.000100,,0,Common Stock,USA,Mississippi
PDNLA,PRESIDENTIAL RLTY A,Pink No Information,0.011000,,0,Common Stock,USA,New York
PNBC,PRINCETON NATL BANCORP,Pink No Information,0.004000,,0,Common Stock,USA,Illinois
PSWR,PRISM SOFTWARE CORP,Pink No Information,0.003400,,0,Common Stock,USA,California
RGUS,REGI US INC,Pink No Information,0.018900,,0,Common Stock,USA,Washington
KIDBQ,KID BRANDS INC,Pink No Information,0.002300,-6.504100,1000,Common Stock,USA,New Jersey
SDAD,S H RESOURCES&DEVEL CORP,Pink No Information,0.006000,,0,Common Stock,USA,California
SHWK,SEAHAWK DP OCEAN TECH,Pink No Information,0.001300,,0,Common Stock,USA,Florida
SEIL,SEILON INC,Pink No Information,0.010050,,0,Common Stock,Canada,Ontario
LDSI,LIFE DESIGN STA INTL INC,Pink No Information,0.000800,60.000000,2944529,Common Stock,USA,New York
SLSR,SILVER SURPRIZE INC,Pink No Information,0.015500,,0,Common Stock,USA,Washington
SGTN,SOLIGEN TECHNOLOGIES INC,Pink No Information,0.006000,,0,Common Stock,USA,Texas
STDE,STANDARD ENERGY CORP COM,Pink No Information,0.003800,,0,Common Stock,USA,Utah
TMMI,TMM INC,Pink Limited,0.017000,21.428600,592367,Common Stock,USA,South Carolina
TALC,TAL-CAP INC COM,Pink No Information,0.014000,-15.151500,628851,Common Stock,USA,Minnesota
SIMC,SIMCLAR INC,Pink No Information,0.010000,,0,Common Stock,USA,Florida
FUNN,AMFIL TECHNOLOGIES INC,Pink No Information,0.020000,-2.128700,308680,Common Stock,Canada,Ontario
TCGN,TECHNOLOGY GENERAL CORP,Pink No Information,0.020000,,0,Common Stock,USA,New Jersey
CVST,COVISTA COMMUNS INC,Pink No Information,0.004500,,0,Common Stock,USA,North Carolina
TROG,TRIUMPH OIL & GAS CRP COM,Pink No Information,0.015000,,0,Common Stock,,
USRC,UNISOURCE CORP,Pink No Information,0.005000,,0,Common Stock,USA,Florida
UMCN,UMC INC,Pink No Information,0.010900,9.000000,200,Common Stock,USA,Illinois
